Id,X1,y
878,Sanierung Unterwerke - Erneuerungsbau Unterwerk Ost; Zusatzkredit zum Verpflichtungskredit,10
879,"Feuerwehr und Zivilschutz; Einfangen von Bienenschwärmen und Vernichtung von Wespennestern durch die Berufsfeuerwehr; Abgeltung aus allgemeinen Haushaltsmitteln, Kto. 401.3904 und 4411.4904",15
880,Gebührenreduktion für die wiederkehrende Nutzung der Schul- und Sportanlagen aufgrund von Einschränkungen durch die Covid-19-Pandemie; Einnahmenverzicht,8
881,"Frühe Förderung - Individuelle Prävention und Intervention: Umsetzung des Programms ""PAT - Mit Eltern Lernen""",7
882,"Erschliessung Schulhaus Feldli und Wohnneubau ""Sömmerli 1"" mit Fernwärme",10
883,Gesamtsanierung Büro- und Geschäftshaus Blumenbergplatz 3,2
884,Neubau einer Eissportanlage im Lerchenfeld,8
885,Abgabe von städtischem Wohnbauland an der Geigerstrasse (Winkeln) im Baurecht,16
886,"Unterflurabfallkübel, Gesamtkonzept und Umsetzung",1
887,"Realisierung und Einführung eines elektronischen Archivs ""ELAR""",4
888,Neues Abwasserreglement,1
889,Arbon - Aachbrücke; Hochdruck-Erdgasbehälter Arbon bis Areal Saurer Werk II; Neubau der Hochdruck-Erdgasleitung und einer Druckregelanlage,10
890,Neugestaltung der Lämmlisbrunnenstrasse; Zusatzkredit für die projekt- und teuerungsbedingten Mehrkosten,16
891,Budget 2022,2
892,Beschaffung eines Einsatzleitrechners für die Berufsfeuerwehr,15
893,Erlass eines Nachtrages zur Bauordnung betreffend Baubewilligungskommission und Sachverständigenrat für Städtebau und Architektur,16
894,Wiederwahl der Ombudsperson und der Stellvertretung,11
895,Zusätzlicher Kindergarten im Schulquartier Hebel-Bach (St.Georgen),5
896,Revision Lohnsystem; Nachtrag III zum Personalreglement (PR)  vom 21. Februar 2012 (sRS 191.1),11
897,"Bereinigungen des Zonenplanes am Gallusplatz, am Raiffeisenplatz und beim Bruggwiesenweg",16
898,"Umsetzung Buskonzept St.Gallen Ost / Oberthurgau; Neue Buserschliessung Spisegg, Versuchsbetrieb; Verpflichtungskredit",13
899,Bau und Integration einer Erdgastankstelle in die BP-Tankstelle Rorschacherstrasse 271,10
900,Inventar der schützenswerten Bauten ausserhalb der Altstadt; weiteres Vorgehen,16
901,Geschäftsbericht des Stadtrates über das Amtsjahr 2001,9
902,Schaffung eines Fonds zur Förderung der Arbeitsintegration (SONO-Fonds),7
903,"Auflösung des ""Fonds für die Erstellung eines Fussgängerstegs von der Paradiesstrasse in die Unterstrasse"" und Überführung der geäufneten Mittel in die Vorfinanzierung für den Langsamverkehr",2
904,Rechnung der Stadt St.Gallen 2018,2
905,Schulzahnklinik Schreinerstrasse 1: Erweiterung und bauliche Erneuerung sowie elektronische Patientenadministration und digitales Röntgen,5
906,Neubau einer Zufahrtsrampe zum VBSG-Depot,14
907,Sanierung der Wohnsiedlung „Haggenhalden“,2
908,"Brandhaus Hofen, Wittenbach, Sanierung und Erweiterung; Verpflichtungskredit",15
909,Verlängerung der Partnerschaft zwischen der Stadt und dem HSG Smart Government Lab,4
910,"Rahmenkredite für Kanal-, Werkleitungs- und Strassensanierungen für die Legislaturperiode 2017 - 2020",2
911,St.Gallen - Teufener Strasse; Ruckhaldenweg bis Demutstrasse; Neubau einer Mitteldruck-Erdgasleitung sowie Neubau einer Wasserleitung,10
912,Nachtragskredite im Rechnungsjahr 2017,2
913,KHK-Logistik; Konzeptänderung infolge Verpuffung vom 12. September 2016; Zusatzkredit,1
914,Umsetzung Buskonzept St.Gallen Ost / Oberthurgau; Beschaffung von drei Zweiachs-Standardautobussen,14
915,Ersatzwahl als Mitglied der Delegiertenversammlung der Olma Messen St.Gallen; Wahlvorschlag der SP/JUSO/PFG-Fraktion,6
916,"Einzugsgebiet Kreuzbühl; Miete einer Liegenschaft an der Kreuzbühlstrasse 18/20 für die Betreuung, Projektierungs- und Ausführungskredit",5
917,Strategie Schul- und Betreuungsraum,5
918,"St.Gallen – Rorschacher Strasse; Erneuerung der Wassertransport- und der Wasser-verteilleitung in der Rorschacher Strasse, Abschnitt Grütlistrasse bis Haus Nr. 250; Verpflichtungskredit",10
919,Fuss- und Radweg Gründenmoos; Zusatzkredit,16
920,Bedastrasse 12; Projekterweiterung mit zusätzlicher Innensanierung,2
921,"Primarschule Boppartshof, Bau eines Pavillons für den Mittagstisch",5
922,Petition für eine Eisbahn Lerchenfeld,0
923,"St.Leonhard-Strasse, Busspur Gäbrisstrasse-Lavaterstrasse; Verpflichtungskredit",16
924,Erneuerung der Rotlichtüberwachung,13
925,Bau einer neuen Transformatorenstation im Gebiet Unterer Graben samt Eingliederung in die Leitungsnetze,10
926,eGovernment in der Stadt St.Gallen,4
927,Neuer Werkhof für das Gartenbauamt mit Stützpunkt des Tiefbauamtes und Solarstromanlage,4
928,Wiederwahl des Leiters der Finanzkontrolle,11
929,Geschäftsbericht des Stadtrates über das Amtsjahr 2002,9
930,"Volksinitiative ""Kinderfest für alle""",5
931,Rechnung 2005,2
932,Erlass eines Immissionsschutzreglements,12
933,"Umbau und Sanierung des ""Palace""-Gebäudes und Detailkonzept für den kulturellen Betrieb; Projektierungskredit",3
934,"Überbauungsplan Zürcher Strasse, Stationsstrasse, Schäfliweg mit besonderen Vorschriften",16
935,Gestaltungsplan und Zonenplanänderung Kräzernstrasse,16
936,Die Abgeltung der Zentrumslasten,2
937,"Primarschule Riethüsli, Neubau der Schulanlage, Planungs- und Ausführungskredit",5
938,Beschaffung eines Content Management Systems (CMS) und Überarbeitung des Internet-Auftritts der Stadt St.Gallen,6
939,Nachtragskredite im Rechnungsjahr 2012,2
940,"Neuer Richtplan der Stadt St.Gallen; Grundlegung, Vorgehen und Planungskredit",16
941,"Initiative ""Gegen die Bodenverschwendung""",0
942,"Nachtragskredite, gebundene Ausgaben und Zusatzkredite im Rechnungsjahr 2004",2
943,"Beschaffung von fünf Fahrzeugen, Rollmodulen und feuerwehrtechnischem Einsatzmaterial für die Feuerwehr; Krediterteilung",15
944,Nutzungsmöglichkeiten unter dem Waaghaus,4
945,Verkauf eines Gewerbe-Industrie-Grundstücks an der Bionstrasse,2
946,Budget 2019,2
947,Wiederwahl des Stadtschreibers und Wahl der Stadtschreiber-Stellvertreterinnen für die Amtsdauer 2021 – 2024,11
948,"Überbauungsplan Zürcher Strasse, Stationsstrasse, Schäfliweg mit besonderen Vorschriften",16
949,Nachtragskredite im Rechnungsjahr 2018,2
950,Marktplatz; neue Marktstände sowie Sanierung und Ergänzung der Lagerkeller,16
951,Fussweg im Galgentobel von der Lukasmüli bis zur Bahnüberführung SOB Bruggwald,16
952,"St.Georgen-Strasse/Kammelenberg, Erschliessung der Neuüberbauung 167a bis 183b und Fusswegverbindung zur Tutilostrasse",16
953,Erlass einer neuen Gemeindeordnung; Wahl einer nichtständigen Kommission gemäss Art.13 Geschäftsreglement des Grossen Gemeinderates (11 Mitglieder),6
954,Erteilung des Gemeinde- und Ortsbürgerrechts a) Einbürgerungsrat St.Gallen b) Einbürgerungsrat St.Gallen-Tablat c) Einbürgerungsrat St.Gallen-Straubenzell,0
955,Gestaltungsplan Bernhardswies II,16
956,"Überbauung ""Kammelenberg Ost II""; Zusatzkredit",10
957,"Rahmenkredite für Kanal-, Werkleitungs- und Strassensanierungen für die Legislaturperiode 2009 - 2012",2
958,"Rehetobelstrasse, Ausbau von der Tablatstrasse bis zur Kantonsgrenze",16
959,Deponie Tüfentobel; Entschädigung Grundeigentümer; Verpflichtungskredit,1
960,St.Gallen - Ringelbergstrasse; St.Georgen-Strasse bis Demutstrasse; Neubau einer Mittel- und Niederdruck-Erdgasleitung sowie einer Wasser-Verteilleitung,10
961,Unterstützung der Lehrbetriebe,6
962,Nachtragskredite im Rechnungsjahr 2006,2
963,Entwicklung und Aufwertung des Gebietes Bahnhof Nord - Verfahren für die Erarbeitung von Rahmenbedingungen,16
964,Bericht zur Jahresrechnung 2014; Genehmigung,2
965,Erlass eines Partizipationsreglements,0
966,Sanierung Reservoir Scheitlinsbüchel,10
967,Subventionserhöhung 2014 Naturmuseum,3
968,"Volksinitiative ""Stadt ohne Atomstrom""",0
969,Neugestaltung und Instandstellung des Strassenraumes der Zürcher Strasse zwischen Stahlstrasse und Rechenstrasse sowie Erneuerung der Ver- und Entsorgungsleitungen,16
970,Olma Messen St.Gallen - Erneuerung des Darlehens,6
971,Totalrevision des Polizeireglements,15
972,Geschäftsbericht des Stadtrates über das Amtsjahr 2003,9
973,"Gestaltungsplan ""Rosenbüchel"" mit besonderen Vorschriften",16
974,"""Up-grade"" städtische Telefonanlagen; Kenntnisgabe über die Krediterteilung als gebundene Ausgabe durch den Stadtrat",13
975,"Überbauungs- und Gestaltungsplan ""Einstein Kongress"" mit besonderen Vorschriften",16
976,"Zonenplanänderung ""Höggersberg"" für den Neubau der Sporthalle der Universität St.Gallen",16
977,Quartierarbeit in der Stadt St.Gallen,16
978,"Freibad Rotmonten, Sanierung der Wasseraufbereitung und der Beckenbereiche; Kreditfreigabe und Zusatzkredit (2. Vorlage)",8
979,LighTram; Erweiterung eines Gelenktrolleybusses um eine Niederflurplattform zur Erreichung der Behindertengerechtigkeit und zum Kapazitätsgewinn,14
980,Abordnung von drei Personen in den Verwaltungsrat der Kraftwerke SN Energie AG für die Amtsdauer 2010-2014,10
981,Integration der Freihandbibliothek in die Stadtverwaltung in einem Nachtrag V zum Reglement über die städtischen Schulen (Schulordnung) vom 29. August 2006,5
982,Voranschlag 2007,2
983,Teilrevision des Reglements der Versicherungskasse,11
984,Fach- und Koordinationsstelle Gemeindenahe Palliative Care Stadt St.Gallen: Wirkungsbericht und weiteres Vorgehen,7
985,Geschäftsberichte des Stadtrats über das Amtsjahr 2006,9
986,Neuorganisation und neue Schwerpunkte der Stabsstelle für Wirtschaftsförderung,6
987,Stahlstrasse 16: Gebäudesanierung und Ausbau Strassenwärterstützpunkt,4
988,"Auflösung des ""Fonds für die Erstellung eines Fussgängerstegs von der Paradiesstrasse in die Unterstrasse"" und Überführung der geäufneten Mittel in die Vorfinanzierung für den Langsamverkehr",2
989,Projekt „Zukunft HSG“ – Verkauf der städtischen Grundstücke am Platztor für einen neuen Campus der Universität St.Gallen,2
990,Rahmenkredit für die Erstellung von Photovoltaikanlagen für die Legislaturperiode 2021–2024,10
991,Sanierung und Erneuerung der ortsfesten Buswartehallen (1. Etappe): Erteilung eines Rahmenkredites,14
992,Realisierung eines gemeinsamen Verkehrskonzeptes von ARA Au und KVA,1
993,Sanierung altes Lagerhaus; Erteilung eines Zusatzkredites,2
994,Stiftung Historisches und Völkerkundemuseum St.Gallen; Gewährung eines ausserordentlichen Kredits,3
995,Reglement über die Videoüberwachung der Parkgaragen Kreuzbleiche und Rathaus,15
996,Sanierung des Nebenbahnhofs (Bahnhofplatz 7),13
997,Baubeitrag für Anbau- und Umbauprojekt Betagtenheim Halden,7
998,Bauliche und haustechnische Massnahmen für das Waaghaus,4
999,Geschäftsbericht 2017 der Ombudsstelle Stadt St.Gallen,6
1000,Personalaufstockung Stadtpolizei 2010 - 2013; erster Schritt,15
1001,"St.Gallen - Erschliessung des Gebietes Oberwinkeln mit Erdgas, Zusatzkredit",10
1002,Rückbau des alten Seewasserwerks Riet sowie einer alten Gasregler-Station auf der Parzelle 139 in Goldach,10
1003,Kulturbericht 2001,3
1004,"Sanierung und Neunutzung „Kastanienhof“, Kreuzbleicheweg 2; Projektgenehmigung und Verpflichtungskredit",2
1005,Unterstützung des St.Gallerfestes 2012; Nachtragskredit,3
1006,Erweiterung der Primarschule Schönenwegen; Erteilung eines Wettbewerbskredites,5
1007,Sanierung und Renovation des Stadtpark - Pavillons mit Treppenanlage,16
1008,Reallohnerhöhung für die städtischen Angestellten und Beamten,11
1009,Erwerb eines Windenergie-Unterbezugsrechts von BKW auf dem Mont Crosin,10
1010,Projektierungskredit für das Polysportive Zentrum Ostschweiz (PZO); städtischer Anteil,8
1011,"Milizfeuerwehr, Standort Espenmoosstrasse 18, Übertragung in das Verwaltungsvermögen, Sanierung und Umbau",15
1012,Überbauung Webersbleiche; Strassenanpassungen und Erneuerung der Elektrizitätsversorgung,16
1013,"Naturmuseum; Neubau beim Botanischen Garten an der Rorschacher Strasse: Projektierung - Einbettung in die Strategie ""3 Museen - 3 Häuser""",3
1014,Vision des Stadtrats für die Stadt St.Gallen im Jahr 2020 /  Legislaturziele 2009 - 2012,9
1015,"St.Gallen-Linsebüelguet; Erschliessung mit Kanalisation, Wasser und Elektrizität",10
1016,"Initiative ""Gegen die Bodenverschwendung""",0
1017,Südliche Altstadt; Gestaltungskonzept und Projekt Etappe Gallusstrasse,16
1018,Städtische Unterstützung Anlass „Aufgetischt!“,3
1019,Nutzungsmöglichkeiten unter dem Waaghaus,4
1020,"Technische Betriebe, Neues Busdepot für die Verkehrsbetriebe und Zentralisierung der Werkstätten und Büroräume der Direktion Technische Betriebe; Verpflichtungskredit für einen Studienauftrag mit Vorprojekt",14
1021,Bauliche und haustechnische Massnahmen für das Waaghaus,4
1022,Abordnung von drei Personen in den Verwaltungsrat der Kraftwerke SN Energie AG für die Amtsdauer 2006 - 2010,10
1023,Gewalt ist nicht Privatsache,15
1024,"Kinder und Jugendliche konsumieren Alkohol im Übermass - Wir brauchen eine ""Alkoholpolitik""!",6
1025,Stiftsbibliothek; Subventionserhöhung ab 2018; Konto 2094.36100,3
1026,"Wärmedämmung Faulturm, Ersatz Blockheizkraftwerk und Ersatz Schlammentwässerung ARA Au",1
1027,Initiative: Reithalle für die Kultur,0
1028,"""Up-grade"" städtische Telefonanlagen; Kenntnisgabe über die Krediterteilung als gebundene Ausgabe durch den Stadtrat",13
1029,Teilrevision Personalreglement Nachtrag XXI,11
1030,"Wohnhaus Singenbergstrasse 3, Sanierung mit Anpassungen zur Nutzung durch die Wohngemeinschaft Arche der Stiftung Suchthilfe; Verpflichtungskredit",2
1031,Sanierung Wohnhaus Hardungstrasse 6,2
1032,Stiftung Suchthilfe; Beitrag an die Suchtfachstelle St.Gallen,6
1033,"Martinsbruggstrasse, Knoten und Haltestelle Favrestrasse sowie Erneuerung der Wasserleitung und Neubau einer Fernwärmeleitung; Verpflichtungskredit",16
1034,"Volksinitiative ""Kinderfest für alle""",5
1035,Weiterzug von Verfügungen und Entscheiden unterer Instanzen,4
1036,"Inventar der schützenswerten Bauten in der Altstadt (Altstadtinventar), Überarbeitung; Verpflichtungskredit",16
1037,Tschudistrasse; Instandstellung vom Finkenweg bis zur Oberstrasse und Neubau der Erdgas-Mitteldrucktransportleitung,16
1038,Reglement über die Entschädigung von Verwaltungskommissionen; Postulatsbericht,11
1039,Textilmuseum St.Gallen; Subventionserhöhung ab 2018; Konto 2095.36515,3
1040,"Primarschule Hof-Kreuzbühl, Neubau Schulhaus Kreuzbühl mit Betreuung und Kindergarten, Verpflichtungskredit für einen Wettbewerb mit Vorprojekt",5
1041,Erschliessung der Gewerbe-Industrie-Zone Altenwegen Ost mit Verlängerung der Piccardstrasse und Bachoffenlegung,16
1042,Sanierung des Rathauses,4
1043,Baubeitrag Umbau und Sanierung des Blinden-Alters- und Pflegeheims des Ostschweizerischen Blindenfürsorgevereins St.Gallen (OBV),7
1044,Eveline Nef: Billetkontrolle in den städtischen Bussen,14
1045,Wiederwahl der Ombudsperson und Stellvertretung der Ombudsperson für die Amtsdauer 2021 - 2024,6
1046,Arbon - Einspeisung Süd; Areal Saurer Werk II bis Schöntalstrasse; Neubau einer Niederdruck-Erdgasleitung,10
1047,Nachtrag II zum Reglement über die Abwasserbeseitigung und deren Finanzierung (Gewässerschutzreglement; sRS 543.1) vom 28. Oktober 1986; private Anschlüsse und Entwässerungsgebühren auf Strassen,1
1048,Abtwil – Gaiserwaldweg; Zweite Einspeisung im Quartier Spiserwis für die Erdgasversorgung Abtwil; Neubau der Mitteldruckleitung inkl. Druckregler-Kabine sowie Neubau der Erdgas–Niederdruck-Leitung in der Rossweidstrasse; Verpflichtungskredit,10
1049,Anpassung des Gebührenrahmens für die Besucher-Parkbewilligung; Nachtrag II zum Reglement über das Parkieren auf öffentlichem Grund (Parkierreglement) vom 28. November 2006 (sRS 712.2),13
1050,Beschaffung von fünf Anhängerkompositionen und einem zusätzlichen Zugfahrzeug – Verpflichtungskredit,14
1051,Initiativbegehren «Initiative für eine zukunftsfähige Mobilität (Zukunfts-Initiative)»; Bericht und Antrag des Stadtrats,0
1052,"SpiKi - Überprüfung, Anpassungen und Erweiterung des heutigen Konzepts",7
1053,Geschäftsbericht 2015,9
1054,Sanierung Wohnhaus Hardungstrasse 6,2
1055,"Zonenplanänderungen Greithstrasse 17, Herisauer Strasse 58 und Zeughausgasse 20",16
1056,Textilmuseum; Erhöhung Betriebsbeitrag,3
1057,VBSG: Ersatz der Billett- und Entwertungsautomaten; Verpflichtungskredit,14
1058,Erneuerung der städtischen Telefonie,4
1059,Sozialausgaben der Stadt St.Gallen,7
1060,Verkürzte Mittagsruhezeit auf Baustellen; Nachtrag I zum Immissionsschutzreglement,12
1061,Kauf von Nähmaschinen und Serviceleistungen über 72 Monate; Verpflichtungskredit und Nachtragskredit,5
1062,"Sportanlage Espenmoos, Zuschauertribüne; Projektierungs- und Baukredit",8
1063,Mehr Sicherheit in unserer Stadt!,15
1064,Rechnung 2007,2
1065,"Gestaltungsplan ""Chrüzacker""",16
1066,Gewährung eines Baubeitrages an den Verein Pflegeheim St.Otmar für die Renovation und Restsanierung des Pflegeheims,7
1067,"St.Gallen - Zürcher Strasse; Erneuerung der Wasserverteilleitungen sowie Neubau einer Wasser-Transportleitung in der Zürcher Strasse, Abschnitt Lerchenfeld- bis Erlachstrasse",10
1068,Konzept zur Förderung von Kongressen durch den Standort Stadt St.Gallen,6
1069,Förderung beschäftigungswirksamer Arbeitszeitmodelle,11
1070,"Erweiterte Blockzeiten für Kindergarten und Primarschule: Grundmodell 5x4, Pilotprojekt",5
1071,Initiative gegen längere Ladenöffnungszeiten («Kein Sonntagsverkauf in der Stadt St.Gallen»); Bericht und Antrag des Stadtrates,0
1072,Sicherheitserhöhung durch Videoeinsatz und Alarmeinrichtungen,15
1073,Sanierung Wohnhaus Hardungstrasse 6,2
1074,Erlass eines Immissionsschutzreglements,12
1075,Geschäftsbericht 2017 der Verkehrsbetriebe St.Gallen,14
1076,"Neues Fachhochschulzentrum St.Gallen - Gestaltungsplan, Ergänzung des Überbauungsplanes Hauptbahnhof Nordwest, Erschliessungsprojekt sowie Bahnhofvorfahrt und Veloparking",5
1077,Totalrevision des Abfallreglements (SRS 541.1),1
1078,Erweiterung der Primarschule Schönenwegen; Zusatzkredit,5
1079,"Volksinitiative ""Stadt ohne Atomstrom""",0
1080,Sanierung Reservoir Solitüde,10
1081,Beschaffung eines Niederflur Gelenkautobus MAN A23 – Neufahrzeug; Verpflichtungskredit,14
1082,Frohbergstrasse; Rorschacher Strasse bis Steinachstrasse (Querverbindung Frohbergstrasse),16
1083,Public Wireless Area Network St.Gallen; Erneuerng und Netzergänzung,13
1084,"Neubau eines Werkhofes für das Gartenbauamt, Projektierungskredit",4
1085,Ostschweizerischer Verein für das Kind; Jährlich wiederkehrender Beitrag für Mobile,7
1086,"St.Gallen – Hardungstrasse / Hagenbuchstrasse / Huebstrasse; Erneuerung der Wassertransportleitung und der Wasser-Hauszuleitungen in der Hardungstrasse, der Hagenbuchstrasse und der Huebstrasse, Abschnitt ganzer Ring der Hardungstrasse und von der Hardungstrasse bis zur Speicherstrasse; Verpflichtungskredit",10
1087,VBSG: Anerkennung des Halbtaxabonnements; Änderung des Tarifreglementes,14
1088,Errichtung von zwei Firewall-Systemen,4
1089,Provisorium der Freihandbibliothek in der Hauptpost,3
1090,"Projektierung und Bau einer Erdgaseinspeisung mit einem Erdgasröhrenspeicher, einer Druckerhöhung im Mitteldrucknetz, eines Umbaus im Riet Goldach und der Abbruch der Erdgaskugeln",10
1091,"Immobilien-Bewirtschaftungs-System ""IBS""",4
1092,Neubau Transformatorenstation 045 TS Grünau; Erneuerung der Elektrizitätsversorgung,10
1093,"Anschluss von städtischen Gebäuden im Verwaltungsvermögen an das Fernwärmenetz, Erteilung eines Rahmenkredites",10
1094,Abgabe von städtischem Wohnbauland an der Quimbystrasse (Winkeln) im Baurecht,16
1095,Aufbau eines rechnergestützten Betriebsleitsystems (RBL) mit dynamischem Fahrgastinformationssystem (FIS) für die Stadt und die Verkehrsbetriebe St.Gallen,14
1096,Einführung einer Grüngutabfuhr; Nachtrag I zum Abfallreglement vom 17. Juni 2008 (sRS 541.1),1
1097,Überbauungsplan Kantonsspital St.Gallen / Ostschweizer Kinderspital,16
1098,"Zonenplanänderungen Greithstrasse 17, Herisauer Strasse 58 und Zeughausgasse 20",16
1099,Ausdehnung der Videoüberwachung im Umfeld der Arena St.Gallen;Teilrevision des Reglements (Nachtrag l) und Erteilung eines Verpflichtungskredits über CHF 370'000,15
1100,Mehr Sicherheit in unserer Stadt!,15
1101,"Städtische Integrationspolitik: Rückblick, Standortbestimmung und neues Integrationskonzept. Postulatsberichterstattung",0
1102,"Fuss- und Veloverkehr, Sofortmassnahmen (2021-2023); Verpflichtungskredit",13
1103,Datenbearbeitung und Betriebliches Case Management (BCM); Nachtrag VI zum Personalreglement (sRS 191.1; abgekürzt PR),11
1104,Erlass einer neuen Gemeindeordnung; 2. Lesung,6
1105,"Städtischer Beitrag an das Projekt ""Durchmesserlinie Appenzell-St.Gallen-Trogen""",13
1106,Erweiterung der Primarschule Schönenwegen; Erteilung eines Ausführungskredites,5
1107,Bericht über die Umsetzung des Integrationskonzeptes der Stadt St.Gallen in den Pilotjahren 2002 - 2004,0
1108,Versuchsbetrieb Linie 10 Oberhofstetten – Bahnhof: Umwandlung in einen regulären Betrieb,13
1109,Entwicklung und Aufwertung des Gebietes Bahnhof Nord - Verfahren für die Erarbeitung von Rahmenbedingungen,16
1110,Neugestaltung der Lämmlisbrunnenstrasse,16
1111,"Einzugsgebiet Rotmonten-Gerhalde; Umnutzung Kirchlistrasse 2 für die Betreuung, Projektierungs- und Ausführungskredit",5
1112,Reglement über die Organisation und Geschäftsführung des Stimmbüros,0
1113,Schule für Gestaltung Schulhaus Bild; Sanierung und betriebliche Anpassungen,5
1114,"Liegenschaft ""Palace"" (Zwinglistrasse 3); Sanierung und Umbau für die kulturelle Nutzung sowie städtischer Betriebsbeitrag",3
1115,Vierte Etappe zur Werterhaltung der Abwasserreinigungsanlage (ARA) Hofen-Wittenbach; Abschlussetappe,1
1116,"Rehetobelstrasse, Ausbau von der Tablatstrasse bis zur Kantonsgrenze",16
1117,Smartnet: Immissionsarmes Funknetz als Ergänzung zum Glasfasernetz zur Realisierung eines „Internet of Things“ in der Stadt St.Gallen,10
1118,Spitexfinanzierung und Qualitätssicherung,7
1119,Nachtragskredite im Rechnungsjahr 2007,2
1120,Nutzungsbeschränkung Geissberg / Altenwegen; Bericht zum Postulatsauftrag und zum weiteren Vorgehen,16
1121,"St.Gallen - Fürstenlandstrasse; Erneuerung der Wassertransport- und Erdgasniederdruckleitung sowie Erschliessung der Erdgasmitteldruckleitung in der Fürstenlandstrasse, Abschnitt Straubenzellstrasse bis Zürcher Strasse",10
1122,Initiative zur Förderung des Veloverkehrs in der Stadt St.Gallen (Velo-Initiative); Bericht und Antrag des Stadtrats,0
1123,Geschäftsbericht Stadt St.Gallen 2017,9
1124,Bezug eines Provisoriums nach dem Brandfall im Rathaus; Kenntnisgabe einer gebundenen Ausgabe,4
1125,Schulanlage Heimat-Buchwald; Aufstockung und Umbau des Schulhauses zur Bereitstellung von zusätzlichem Schulraum,5
1126,Fahrvergünstigung des Personals der Verkehrsbetriebe (FVP); Neuregelung ab 1. Januar 2022,13
1127,Sanierung des Nestweihers,1
1128,Änderung von Bauordnung und Zonenplan für die Einfamilienhausgebiete,16
1129,"Liegenschaft Geltenwilenstrasse 2; Renovation der Gebäudehülle, Verbesserung Wärmeschutz und Einbau von Musikproberäumen",2
1130,Erwerb des Baulandgrundstückes Nr. W3982 (Zürcher Strasse),2
1131,"Höchsterwaldbach; Hochwasserschutz, Bachoffenlegung und Renaturierung",1
1132,Sporthalle Kreuzbleiche; Projektierungskredit für Sanierungs- und Verbesserungsmassnahmen,13
1133,Wohn- und Geschäftsliegenschaft St.Georgen-Strasse 3; Teilsanierung,2
1134,Neugestaltung der Lämmlisbrunnenstrasse,16
1135,Geschäftsbericht 2015 der Verkehrsbetriebe St.Gallen (VBSG),14
1136,"Zürcher Strasse 45, Sanierung der Liegenschaft; Ausführungskredit 2. Etappe",2
1137,"Sportanlage Espenmoos, Zuschauertribüne; Projektierungs- und Baukredit",8
1138,"Spisergasse, Instandstellung und Neugestaltung inklusive Abschnitt Kugelgasse ""Süd""",16
1139,Mövenstrasse 14: Einbau eines Strassenwärtermagazins,2
1140,Initiativbegehren «für eine zukunftsfähige Mobilität (Zukunfts-Initiative)»; Bericht und Antrag des Stadtrats,0
1141,Standortförderung: Ermächtigung des Stadtrates zum Verkauf der städtischen Baulandreserven östlich der Geissbergstrasse,2
1142,Ausdehnung der Spätverkehrsangebote,14
1143,"St.Gallen – Schillerstrasse / Burgstrasse; Erneuerung  der Erdgasmittel-, der Niederdruckleitung und der Wasserverteilleitung sowie Neubau der Wassertransportleitung in der Schillerstrasse und der Burgstrasse; Abschnitt Vonwilstrasse bis Fürstenlandstrasse; Verpflichtungskredit",10
1144,Energieversorgung Stadion / Einkaufszentrum West; Erschliessung mit Elektrizität,10
1145,Logistikbauten Kehrichtheizkraftwerk (KHK) St.Gallen,1
1146,"Änderung der besonderen Vorschriften zum Überbauungsplan ""Auf Wiesen"" (vom 24. Mai 1961)",16
1147,"Hallenbad Blumenwies, Erneuerung und Erweiterung; Planungs- und Ausführungskredit",8
1148,Zonenplanänderung Steingrüebli,16
1149,Erlass eines Nachtrags II zum Reglement über die Spezialfinanzierung für Parkplätze und Parkhäuser vom 17. Januar 1984 (sRS 712.4),13
1150,Sportanlage Gründenmoos; Sanierung der Kunstrasenplätze 5 + 6,8
1151,Oberstufenzentrum Zil; Sanierung der Schulküche im Untergeschoss und Orientierung über die Sanierung der Decken in den Zimmern und Korridoren als gebundene Ausgabe,5
1152,"Bleicheli; Freiraumgestaltung Raiffeisenzentrum, Instandstellung Schreinerstrasse und Bleichestrasse",16
1153,Wohnhaus Brauerstrasse 101; Innensanierung,2
1154,"Städtisches Breitbandnetz auf der Basis ""Fiber to the home (FTTH)""; Rahmenkredite",10
1155,"Kehrichtheizkraftwerk (KHK); Sanierung und Instandhaltung der Leit-, Steuerungs- und Systemtechnik; Verpflichtungskredit",1
1156,Rechtsgrundlage für eine ökologische Tarifrevision Erdgas; Nachtrag III zum Stadtwerke-Reglement,10
1157,Solarstromanlage Kirche Halden,10
1158,Bericht der ständigen parlamentarischen Kommissionen zu Vorstössen des Jahres 2019 gemäss Partizipationsreglement,0
1159,"„Spanisches Klubhaus“, Klubhausstrasse 3, Küchensanierung und Instandstellung der Gebäudesubstanz",2
1160,"Freibad Rotmonten, Sanierung Hauptgebäude; Verpflichtungskredit",8
1161,Tagesstruktur für die städtischen Kindergärten und die Volksschule,5
1162,Museum im Lagerhaus; Subventionserhöhung ab 2018; Konto 2095.36540,3
1163,Kehrichtheizkraftwerk (KHK): Bauliche Massnahmen; Verpflichtungskredit,1
1164,Totalrevision des Reglements über die Abgabe von Energie und Wasser durch die Versorgungsbetriebe vom 28. Oktober 1969 (sRS 511.1),10
1165,Zonenplanänderung Sömmerliwiese,16
1166,Realschule Bürgli; Sanierung der Feuchteschäden im Untergeschoss,5
1167,Sanierung und Neugestaltung der Schwimmbadanlage im Lerchenfeld,8
1168,Wahl eines Mitgliedes des Schulrates,5
1169,Wohnhaus Grossackerstrasse 4; Innensanierung Hausteil Süd und Treppenhaus,2
